#Questionarrie1
"Question Type","Question Text","Choices","Question Name"
"MC","Consent Statement: By selecting 'I agree,' I confirm that I am at least 18 years of age and consent to participate in this study.","I agree.","consent"
"MC","How often do you play narrative-driven video games (e.g., RPGs, visual novels)?","Never,Rarely,Sometimes,Often,Very Often","gaming_frequency"
"MC","On a scale of 1 to 7, how important is character realism to your enjoyment of a narrative game?","1 (Not at all important) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Extremely important)","realism_importance"
"TE","What is your age?","","age"
"MC","How would you describe your gender?","Male,Female,Non-binary,Prefer not to say","gender"
"TE","What is your user ID for this experiment? (Provided by the researcher)","","user_id"

#Questionarrie2
"Question Type","Question Text","Choices","Scoring","Block"
"Block","## Session 2: Depth & Coherence ## Thank you for completing the second session. Please reflect on the following aspects.","","","Session 2"
"MC","The characters seemed to remember and build upon our previous conversations.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","The world and the characters within it felt consistent and coherent.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","I noticed relationships or history between the different characters.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","My actions felt like they influenced the characters' attitudes towards me.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"TE","Did you learn anything new about the characters or the world in this session that built upon the first session?","","","Session 2"
"TE","Did you change your approach or strategy in this session based on your experience in the first session? If so, how?","","","Session 2"
"TE","Describe a moment that felt particularly social or realistic.","","","Session 2"
"MC","(For Researcher Use) Session ID","Session 2","","Session 2"

#Questionarrie3
"Question Type","Question Text","Choices","Scoring","Block"
"Block","## Session 2: Depth & Coherence ## Thank you for completing the second session. Please reflect on the following aspects.","","","Session 2"
"MC","The characters seemed to remember and build upon our previous conversations.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","The world and the characters within it felt consistent and coherent.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","I noticed relationships or history between the different characters.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"MC","My actions felt like they influenced the characters' attitudes towards me.","1 (Strongly Disagree) | 2 | 3 | 4 (Neutral) | 5 | 6 | 7 (Strongly Agree)","","Session 2"
"TE","Did you learn anything new about the characters or the world in this session that built upon the first session?","","","Session 2"
"TE","Did you change your approach or strategy in this session based on your experience in the first session? If so, how?","","","Session 2"
"TE","Describe a moment that felt particularly social or realistic.","","","Session 2"
"TE","Please enter some facts that you learned about a specific NPC or its relationship","","","Final Compare"
"MC","(For Researcher Use) Session ID","Session 2","","Session 2"

#Questionarrie4
"Question Type","Question Text","Choices","Scoring","Block"
"Block","## Final Survey: Comparing the Two Sessions ## Now, please think about your overall experience across BOTH sessions you just completed.","","","Final Compare"
"MC","Which session did you prefer overall?","I preferred Session 1 | I preferred Session 2 | I had no preference","","Final Compare"
"MC","In which session did the characters feel more like they had their own memories and awareness?","Session 1 | Session 2 | They felt the same","","Final Compare"
"MC","In which session did the social world (character relationships, etc.) feel more deep and believable?","Session 1 | Session 2 | They felt the same","","Final Compare"
"MC","If you had to continue playing for a third session, which version of the system would you choose to play with?","The system from Session 1 | The system from Session 2","","Final Compare"
"TE","Please explain your choices above. What was the biggest difference you noticed between the two sessions?","","","Final Compare"
"TE","Did you feel like you were interacting with the same world in both sessions, or did they feel separate?","","","Final Compare"
"TE","Please enter some facts that you learned about a specific NPC or its relationship","","","Final Compare"
"TE","Any final comments on your experience?","","","Final Compare"
